Year,Type,Country,Area,Activity,Fatal,Species ,,
2017,Unprovoked,BAHAMAS,The Exuma Cays,Washing hands,N,Lemon shark,,
2017,Unprovoked,BAHAMAS,The Exuma Cays,Floating,N,Nurse shark,,
2017,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,N,"Bull shark, 1.5",,
2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,,,
2017,Unprovoked,REUNION,Saint-Andre,Body boarding,Y,,,
2017,Unprovoked,AUSTRALIA,Queensland,Spearfishing,N,,,
2017,Unprovoked,USA,Florida,Swimming,N,,,
2017,Provoked,BRAZIL,Pernambuco,Grabbing shark for a selfie,N,Lemon shark pup,,
2017,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,N,Tiger shark,,
2017,Boating,USA,South Carolina,Tagging sharks,N,"White shark, female, 14'",,
2017,Unprovoked,BAHAMAS,Bimini,Scuba Diving,N,Caribbean reef shark,,
2017,Unprovoked,BRAZIL,Pernambuco,Swimming,N,,,
2017,Unprovoked,USA,Florida,,N,,,
2017,Unprovoked,AUSTRALIA,Queensland,Scuba Diving,N,"Bull shark, 4 m",,
2017,Unprovoked,AUSTRALIA,Queensland,Swimming,N,,,
2017,Unprovoked,USA,Florida,,N,,,
2017,Unprovoked,INDONESIA,Bali,Surfing,N,"Bull shark, 1 m",,
,Invalid,AUSTRALIA,Queensland,Spearfishing,,Bull shark,,
2017,Unprovoked,USA,Florida,Wading,N,,,
2017,Invalid,AUSTRALIA,New South Wales,Wading,,Shark involvement not confirmed,,
2016,Unprovoked,USA,Florida,Surfing,N,,,
2016,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,N,a small shark,,
2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing,N,"White shark, 4 m",,
2016,Unprovoked,AUSTRALIA,Western Australia,Free diving,N,,,
2016,Unprovoked,FRENCH POLYNESIA,Tuamotos,Fishing,N,,,
2016,Invalid,USA,Florida,Surfing,,Shark involvement not confirmed,,
2016,Provoked,AUSTRALIA,New South Wales,Surf fishing,N,"Wobbegong shark, 2m",,
2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,White shark,,
2016,Provoked,AUSTRALIA,Victoria,Fishing,N,"Broadnose sevengill shark, 1.5 m",,
2016,Unprovoked,USA,Hawaii,Floating,N,Tiger shark,,
2016,Unprovoked,USA,Florida,Surfing,N,,,
2016,Unprovoked,USA,Florida,Surfing,N,,,
2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
2016,Unprovoked,USA,Hawaii,Surfing,N,6' to 8' shark,,
2016,Unprovoked,AUSTRALIA,Queensland,Surfing,N,,,
2016,Unprovoked,USA,Hawaii,Snorkeling,N,,,
2016,Invalid,MEXICO,,Cage Diving,,White shark,,
2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
2016,Unprovoked,USA,Oregon,Surfing,N,,,
2016,Unprovoked,USA,Florida,Surfing,N,,,
2016,Unprovoked,USA,Florida,Surfng,N,,,
2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"White shark, 3.5 m",,
2016,Unprovoked,USA,Florida,Surfing,N,,,
2016,Unprovoked,USA,Florida,Surfing,N,,,
2016,Unprovoked,USA,Florida,Surfing,N,,,
2016,Unprovoked,USA,California,Surfing,N,,,
2016,Unprovoked,AUSTRALIA,Victoria,Surfing,N,,,
2016,Unprovoked,AUSTRALIA,Victoria,Surfing,N,2 m shark,,
2016,Boating,AUSTRALIA,Western Australia,Fishing,N,,,
2016,Unprovoked,USA,Florida,Wading,N,3' to 4' shark,,
